cep;logradouro
07171-180;Rua Aratuibe
07171-190;Rua Camocim
07171-191;Viela Cumaru
07171-200;Rua Itambé
07171-210;Rua Yêmen
07171-220;Rua Svaa Evans
07171-230;Rua Jaguaquara
07171-240;Rua Justiniano Fernandes Vieira
07171-250;Rua Jiquiriçá
07171-260;Rua Beto
07171-270;Rua Jitaúna
07171-280;Rua Lafaiete Coutinho
07171-290;Rua Água Fria
07171-300;Viela Amorosa
07171-320;Rua Caetano
07171-325;Viela Vitória da Conquista
07171-420;Rua Itapo
07171-430;Rua Candel
07171-440;Rua Nova Canaã
07172-000;Rua Cândido Sales
07172-001;Viela Itagibá
07172-002;Rua Serrinha
07172-010;Rua Waldemar de Paula Ferreira
07172-020;Avenida Boa Nova
07172-030;Praça Orobo
07172-040;Avenida Belo Campo
07172-050;Rua Planaltino
07172-051;Rua Retirolândia
07172-060;Rua Anagé
07172-061;Viela Almadina
07172-070;Rua Nova Itarana
07172-071;Viela Santa Adélia
07172-080;Rua Mutuipe
07172-081;Viela Aiquara
07172-086;Rua Paschoal Ricci
07172-090;Rua Itagi
07172-100;Rua Marinópolis
07172-101;Via Sonho
07172-110;Rua Irajuba
07172-120;Rua Cravolândia
07172-130;Rua Aquilino Leonel Ferreira
07172-140;Rua Jeremoabo
07172-141;Viela Iapedi
07172-146;Viela Chaparral
07172-150;Rua Amélia Rodrigues
07172-160;Rua Maracas
07172-170;Rua Itaquara
07172-190;Rua Andorra
07172-200;Rua Augusto Hog
07172-250;Rua Serra Preta
07172-260;Travessa Ipê
07172-270;Viela Sanho
07172-290;Viela Madeira
07172-300;Travessa Silva
07172-310;Viela Itiuba
07172-313;Travessa Itiuba
07172-315;Viela Ipacaetá
07172-320;Rua Interlagos
07172-330;Viela Oliveira
07172-340;Viela Texas
07172-350;Rua Queimadas
07172-355;Viela Mamede Ferreira
07172-360;Rua Ipirá
07172-370;Rua Ouricangas
07172-375;Rua Particular E
07172-380;Rua Irará
07172-385;Rua Particular C
07172-390;Rua Tanquinho
07172-400;Rua Pedrão
07172-410;Rua Santanópolis
07172-411;Via Severino Félix da Silva
07172-420;Viela Quijingue
07172-430;Via Iacu
07172-440;Avenida João Bassi
07172-450;Rua Dois
07172-460;Rua Três
07172-470;Rua Francisca Luzanira Pinheiro Candéa
07172-480;Rua Leontina Billachi Bassi
07172-490;Avenida Marginal do Rio Baquirivu
07173-000;Rua Treze de Julho
07173-010;Rua Conceição da Feira
07173-011;Viela Camba
07173-012;Viela Andira
07173-013;Viela Leópolis
07173-020;Rua Ibicui
07173-021;Viela Dona Eliza
07173-022;Rua Dona Hermínia
07173-025;Viela Lapa
07173-030;Rua Barro Preto
07173-031;Viela Abatia
07173-040;Rua Floresta Azul
07173-041;Viela Aropoti
07173-042;Viela Irati
07173-050;Rua Valença
07173-051;Viela Pien
07173-055;Rua Firmino
07173-060;Rua Governador Mangabeira
07173-070;Rua Camamu
07173-072;Viela Jaboti
07173-080;Rua Crateus
07173-081;Viela África do Sul
07173-082;Viela Abaiti
07173-090;Rua Cruz das Almas
07173-100;Rua Almeida
07173-110;Rua Itaparica
07173-115;Rua Jaguaribe
07173-120;Rua Ituberá
07173-121;Viela Estudante Cristian Nunes Mendes
07173-122;Viela Dona Rosa
07173-123;Viela Japira
07173-130;Rua Taperoa
07173-131;Viela Nasa
07173-140;Rua Muritiba
07173-141;Praça Mali
07173-146;Viela Matinhos
07173-150;Viela Cambara
07173-160;Rua Cachoeira
07173-170;Rua Morretes
07173-180;Praça Grécia
07173-190;Rua Marau
07173-200;Viela Ely
07173-210;Viela Ipiau
07173-220;Viela Itacape
07173-230;Viela Pia
07173-240;Viela Volga
07173-280;Avenida Teolândia
07173-290;Rua Fartura
07173-300;Rua Nello Morganti
07173-301;Viela Limoeiro
07173-310;Rua Mascote
07173-320;Rua Itapitanga
07173-330;Rua João Alves da Silva
07173-340;Rua Handi
07173-350;Viela Ilhéus
07173-360;Rua Itamari
07173-370;Rua Ubaitaba
07173-380;Rua Ubatã
07173-390;Rua Ibirataí
07173-395;Praça Pedro Dias Gonçalves
07173-400;Rua Itape
07173-410;Rua Coaraci
07173-420;Rua Chuim
07173-430;Rua Belmonte
07173-440;Viela Gongogi
07173-470;Viela Gandu
07173-475;Praça João Pinheiro de Almeida
07173-480;Rua Itajuíbe
07173-900;Rua Retirolândia
07173-901;Rodovia Presidente Dutra km 212
07173-902;Rodovia Presidente Dutra km 211
07173-904;Rodovia Presidente Dutra km 212
07174-000;Avenida Papa João Paulo I
07174-005;Avenida Papa João Paulo I
07174-010;Rua Senador Nilo Coelho
07174-015;Rua Carlos Drumond de Andrade
07174-020;Rua Elias Dabarian
07174-025;Rua Jardel Filho
07174-027;Rua Q-Dois
07174-030;Rua Senador Teotônio Vilela
07174-033;Rua Triunvirato
07174-040;Rua Venâncio
07174-050;Rua Altemar Dutra
07174-060;Rua David Nasser
07174-070;Rua Elza Gomes
07174-090;Rua Capitão Baldoíno
07174-100;Rua Evaldo Braga
07174-110;Rua Risadinha
07174-120;Rua Maestro Capia
07174-140;Rua Jackson do Pandeiro
07174-150;Rua Cascatinha
07174-170;Rua Manoel Torrecila
07174-180;Rua Geralda Conceição Mota
07174-190;Rua Severino José de Lima
07174-200;Rua Omar Gonçalves Ferreira
07174-210;Rua Horácio de Almeida
07174-220;Rua Blecaute
07174-230;Rua Maria do Socorro Tavares da Silva
07174-240;Rua Valdomiro Pereira
07174-250;Rua Nuno Rolando
07174-260;Rua Lindu
07174-265;Rua Dilermano Reis
07174-270;Rua Ministro Marcos Freire
07174-280;Rua Petrônio Portella Nunes
07174-290;Rua Moacir Zanardi Dabarian
07174-300;Rua Doze
07174-310;Rua Treze
07174-320;Rua Quatorze
07174-330;Rua José Damiani Filho
07174-340;Rua B-Um
07174-350;Rua B-Dois
07174-360;Rua C-Um
07174-370;Rua C-Dois
07174-380;Rua D-Um
07174-381;Rua D-Dois
07174-382;Rua D-Três
07174-383;Rua D-Quatro
07174-390;Rua E-Um
07174-391;Rua Milton Batista Caraça
07174-392;Rua E-Três
07174-393;Rua E-Quatro
07174-400;Rua F-Um
07174-401;Rua F-Dois
07174-402;Rua Terceiro-Sargento-Aeronáutica Carlos Otávio Barroso Lopes
07174-403;Rua F-Quatro
07174-410;Rua Nagao Watanabe
07174-411;Rua Olímpio Ferreira Duarte
07174-412;Rua Claudio Roberto Marques
07174-420;Rua J-Um
07174-421;Rua J-Dois
07174-422;Rua J-Três
07174-423;Rua Mercedes Pegoraro da Silva
07174-430;Rua Euclides Vieira de Almeida
07174-431;Rua Abel Angeolini
07174-432;Rua Albira Garcia Rodrigues
07174-433;Rua Maria Augusta Rinaldi
07174-440;Rua Francisco Ferreira Duarte
07174-441;Rua Hermínia Francisca Ferreira
07174-450;Rua N-Um
07174-451;Rua N-Dois
07174-452;Rua N-Três
07174-453;Rua N-Quatro
07174-460;Rua O-Um
07174-461;Rua O-Dois
07174-462;Rua O-Três
07174-463;Rua O-Quatro
07174-470;Rua Almirante
07174-480;Rua V-Um
07174-481;Rua V-Dois
07174-490;Rua Joaquim de Brito Fernandes
07174-491;Rua U-Dois
07174-500;Rua W UM
07174-501;Rua W DOIS
07174-510;Rua X UM
07174-511;Rua X DOIS
07174-520;Rua Y-Um
07174-530;Avenida Francisco Xavier Correia
07174-900;Avenida Papa João Paulo I 5235
07174-901;Avenida Papa João Paulo I 5500
07175-000;Avenida Armando Bei
07175-002;Viela Cáspio
07175-005;Passagem Ala
07175-010;Rua Mirangaba
07175-020;Rua Matões
07175-030;Rua Abaré
07175-040;Rua Jacaraci
07175-041;Praça Ana Casteliano Torres Silva
07175-050;Rua Antônio Tava
07175-051;Viela Seabra
07175-052;Viela Boracéia
07175-053;Viela Piata
07175-060;Rua Comendador João Torquato Lazzarini
07175-070;Rua Cachoeira de Goiás
07175-080;Estrada Acacio Antonio Batista
07175-083;Praça Alicia Estrada Fernandes
07175-085;Rua Antônio Iacona
07175-090;Avenida Paschoal Thomeu
07175-100;Rua Juan Alonso Sanchez
07175-110;Rua Veneza
07175-120;Avenida Marcos Paulo Gonçalves
07175-122;Viela Camacan
07175-123;Viela Ibotirama
07175-124;Passagem Carvalhópolis
07175-130;Rua Cordeiros
07175-131;Rua Dino Alegrette
07175-132;Viela Paramirim
07175-134;Viela Baramirim
07175-140;Avenida Bom Jesus da Lapa
07175-141;Passagem Cachoeira
07175-150;Rua Ganges
07175-160;Rua Groíras
07175-170;Rua Mairi
07175-171;Viela Vágner
07175-180;Rua Guilherme Cimieri
07175-181;Rua Neruda
07175-190;Viela Matos Costa
07175-200;Rua Mundo Novo
07175-210;Rua Jaguarari
07175-215;Viela Tanhaçu
07175-220;Rua Candeuba
07175-221;Rua Itaberaba
07175-230;Rua Meridiano
07175-240;Rua Aracatu
07175-250;Travessa São Roque
07175-260;Rua Antônio Lacona
07175-263;Praça Joaquim de Paula Soares
07175-270;Rua Maracanã
07175-280;Avenida Estados Unidos
07175-290;Rua Jorge Gonçalves Carolino
07175-291;Praça Raphael Tremante
07175-300;Rua Benedicta Lydia Santoni de Azevedo
07175-310;Rua Orlando Ramos
07175-320;Rua Onório Marsella
07175-330;Rua Doze de Junho
07175-331;Rua Jacobina
07175-332;Viela Urga
07175-340;Rua São Ludgero
07175-350;Rua Victor Graeff
07175-351;Rua Conceição Araguaia
07175-360;Rua Paulo Lopes
07175-370;Rua Santa Cruz do Descalvado
07175-371;Viela São Braz
07175-380;Rua São Gonçalo do Pará
07175-390;Rua Santa Izabel do Pará
07175-400;Rua Santa Maria do Pará
07175-401;Rua Santana do Araguaia
07175-410;Rua Lagoa Seca
07175-411;Viela Santa Rosa
07175-412;Viela Nova Floresta
07175-420;Rua Timon
07175-430;Rua Brumado
07175-440;Rua Senhor do Bonfim
07175-450;Rua Felício Antônio Alves
07175-451;Rua Dom Duarte Leopoldo e Silva
07175-452;Rua Deolinda Ramos Bueno
07175-470;Rua Joaquim M. Munhoz
07175-480;Praça Nossa Senhora de Bonsucesso
07175-490;Avenida Doutor Arthur Marcondes de Siqueira
07175-500;Rua Dona Catharina Maria de Jesus
07175-510;Rua Senador Pompeo
07175-520;Rua São Gonçalo de Campos
07175-530;Rua Tapiramuta
07175-531;Praça Tenente Vilani
07175-540;Rua Toshio Uenishi
07175-542;Rua H
07175-550;Rua Antônio Mestriner
07175-560;Estrada Albino Martello
07175-561;Rua Particular Pedra Malhada
07175-570;Rua Lagoa Jequié
07175-580;Rua Lagoa Araruama
07175-590;Rua Pico da Neblina
07175-600;Rua Rio Paru
07175-610;Rua Pedra Furada
07175-620;Rua Pedra Açu
07175-630;Rua Rio Purús
07175-640;Rua Pico Trinta e Um de Março
07175-650;Rua João Gomes da Silva
07175-660;Rua Guilherme Paes de Moraes
07175-959;Estrada Acacio Antonio Batista 503
07175-971;Estrada Acacio Antonio Batista 503
07176-000;Rua Tamotsu Iwasse
07176-005;Estrada Velha Guarulhos-Arujá
07176-007;Rua da Servidão
07176-009;Passagem da Servidão
07176-010;Rua Jataubá
07176-011;Rua Posse
07176-020;Rua Cruzília
07176-023;Passagem Carancas
07176-030;Rua Baependi
07176-040;Avenida Chiyo Yamamoto
07176-050;Rua Andrelândia
07176-060;Passagem Ara
07176-070;Rua Báltico
07176-080;Rua Rio Pomba
07176-090;Rua São Vicente Ferrer
07176-091;Passagem Campestre
07176-100;Rua Senador José Bento
07176-110;Rua Descoberto
07176-120;Rua Piranguinho
07176-130;Rua Guidoval
07176-140;Rua Santa Maria
07176-150;Rua Jesuânia
07176-160;Rua Remanso
07176-161;Praça Sebastião João da Silva
07176-170;Rua Piau
07176-180;Rua Turvolândia
07176-181;Passagem Congonhal
07176-182;Rua Seritinga
07176-190;Rua Prados
07176-191;Rua Maripa
07176-200;Rua Fabio Salvador Bei
07176-201;Rua Silveirânia
07176-210;Rua Engenheiro Navarro
07176-220;Rua São José do Rio Pardo
07176-221;Praça Roraima
07176-222;Rua Desterro
07176-230;Rua Bocaina de Minas
07176-231;Rua Carmo Cachoeira
07176-240;Rua Ibitiura de Minas
07176-250;Rua Soledade de Minas
07176-260;Rua Orenoco
07176-270;Rua Ijaci
07176-271;Passagem Ressaquinha
07176-280;Rua Ouro Fino
07176-290;Rua Olímpio Noronha
07176-300;Rua Bias Fortes
07176-301;Passagem Estiva
07176-302;Rua Caldas
07176-306;Rua Barra Bonita
07176-310;Rua Pirauba
07176-311;Passagem Inconfidentes
07176-312;Rua Carmo Minas
07176-320;Rua Ritápolis
07176-321;Rua Guirecema
07176-330;Rua Desterro Mello
07176-340;Rua Natércia
07176-341;Passagem Coreacu
07176-350;Rua Lambar
07176-360;Rua Astolfo Dutra
07176-361;Rua Serranos
07176-370;Rua Andradas
07176-371;Rua Aracitaba
07176-380;Rua Varsóvia
07176-381;Passagem Ubá
07176-390;Rua Dores de Campos
07176-391;Passagem Bom Repouso
07176-392;Rua Botelhos
07176-400;Rua Minduri
07176-410;Passagem Carrancas
07176-420;Rua Chiador
07176-421;Passagem Ibertioga
07176-430;Rua Luminários
07176-431;Passagem Cassiterita
07176-440;Rua Tocantins
07176-450;Loteamento Vila Sadokim
07176-455;Rua Tenry
07176-458;Rua Resende Costa
07176-460;Rua Conceição
07176-461;Rua Tambaú
07176-470;Avenida Divinésia
07176-480;Rua Santa Rita
07176-485;Praça Prefeito Valdomiro Pompeu
07176-490;Rua Professor Estevam Dias Tavares
07176-500;Rua Salgadinho
07176-510;Rua Estevam de Melo
07176-520;Rua Sebastião Lopes
07176-530;Rua Atecla Fratucelli Lopes
07176-540;Rua Armando Rosso
07176-550;Rua Alfredo Heitzmann Júnior
07176-560;Rua Conceição da Pedra
07176-570;Rua Guindoval
07176-580;Avenida Nipon
07176-590;Avenida Marginal
07176-600;Rua Maria Jorge Lombardi
07176-610;Rua Carlos Alberto Gonçalves
07176-620;Rua Manuel de Freitas
07176-630;Rua Marcos Antônio Salvador
07176-635;Rua João Garcia e Garcia
07176-640;Rua Irene Padilha Sobral
07176-650;Rua Antônio Lago
07176-660;Rua Nicolina Lapenna Turri
07176-670;Rua Milton Venite
07176-680;Rua Gentil da Silva Leite Filho
07176-690;Rua Mario Colozzi
07176-700;Rua Ari Quaranta
07176-710;Rua José de Souza Abrantes
07176-720;Estrada Velha Arujá-Bonsucesso
07176-900;Avenida Chiyo Yamamoto
07177-000;Rua Altos
07177-010;Rua Una
07177-020;Rua Piracura
07177-025;Avenida Papa João Paulo I
07177-030;Rua Piripiri
07177-032;Rua das Graviolas
07177-034;Viela das Uvas
07177-035;Rua da Pinha
07177-036;Rua do Caju
07177-037;Rua da Jaca
07177-038;Rua Ecologia
07177-040;Rua Demerval Lobão
07177-050;Rua Itaperuna
07177-060;Rua Guaratinga
07177-070;Rua Itapirapuã
07177-080;Rua Floresta
07177-090;Rua Arucuca
07177-100;Rua José Dias
07177-110;Rua Rosa Mafei
07177-120;Rua João Ranieri
07177-130;Rua Tomiji Ozeki
07177-140;Rua Gino Parenti
07177-150;Rua Décio da Silva
07177-160;Rua João Pimentel
07177-170;Rua Marinaro
07177-175;Avenida Papa João Paulo I
07177-180;Via de Servidão B
07177-190;Via de Servidão Cinco
07177-200;Rua Wenceslau Guimarães
07177-210;Rua Urucuca
07177-220;Rua Mônica Aparecida Moredo
07177-230;Rua Ida Carmina M. Ranieri
07177-240;Rua Serra dos Carajás
07177-250;Rua Evaristo Bellezzo
07177-440;Estrada dos Vados
07177-527;Rua Wilson Correa Turri
07177-990;Rua Ecologia
07178-000;Estrada do Coronel
07178-001;Avenida Carmela Thomeu
07178-010;Rua Nazaré do Piauí
07178-020;Rua Dracena
07178-030;Praça União
07178-040;Rua São José do Peixe
07178-050;Rua Bocaina
07178-060;Rua Ipiranga do Piauí
07178-070;Rua Fronteiras
07178-080;Praça Pora
07178-090;Rua Bertolina
07178-100;Rua dos Anjos
07178-110;Praça Pimenteiras
07178-120;Rua Rio Poti
07178-130;Estrada da Parteira
07178-300;Estrada Aterradinho
07178-310;Rua Azaléia
07178-320;Rua Borba Gato
07178-330;Rua Brasília
07178-340;Rua dos Cravos
07178-350;Rua Flor da Montanha
07178-360;Rua Flor da Serra
07178-370;Rua Flor de Maio
07178-380;Rua Flor do Campo
07178-390;Rua das Flores
07178-400;Rua Florianópolis
07178-410;Rua Gonçalves Dias
07178-420;Rua Itanhaém
07178-430;Rua do Jasmim
07178-432;Rua Carlos Tadeu Juliani
07178-440;Rua dos Lírios
07178-450;Rua Manoel Reis da Silva
07178-460;Rua das Palmas
07178-470;Rua Pérola Branca
07178-480;Rua Pérola do Mar
07178-490;Rua Peruíbe
07178-500;Rua dos Pinheiros
07178-510;Rua Primavera
07178-513;Praça da Amizade
07178-514;Rua Constantino Testa
07178-520;Rua Salvador
07178-530;Rua Serra Azul
07178-536;Travessa Ducilia Gonsalves
07178-540;Avenida Serra da Mantiqueira
07178-543;Travessa Serra da Mantiqueira
07178-550;Rua Serra do Ouro
07178-560;Rua Serra Dourada
07178-570;Rua Serra Verde
07178-580;Rodovia Presidente Dutra
07178-590;Rua Glória da Conceição Aires
07178-610;Rua Oscar Scherer
07178-650;Rua Doutor Gontran de Sarandy Raposo
07178-660;Avenida Parque das Araucárias
07178-662;Rua Pitanga Negra
07178-664;Rua Treze
07178-666;Rua Jacarandá do Cerrado
07178-668;Rua Um
07178-670;Rua Flor de Pérola
07178-672;Rua Figueira Branca
07178-674;Rua Magnolia Amarela
07178-676;Rua Doutor Paulo Braga de Mesquita
07178-678;Rua Árvore do Céu
07178-680;Rua Bonsai
07178-682;Rua Paineira Rosa
07178-684;Rua Eucalipto Vermelho
07178-686;Rua Flor de Lis
07178-688;Rua Flor do Caribe
07178-690;Rua Aveloz
07178-692;Rua Chuva de Ouro
07178-694;Rua Alecrim Dourado
07178-696;Rua Cacho de Marfim
07178-698;Rua Nelson Magalhães de Souza
07178-700;Rua Árvore da Chuva
07178-702;Rua Palmeira Imperial
07178-704;Rua Rainha das Árvores
07178-706;Rua Amor Perfeito dos Jardins
07178-708;Rua Manacá da Serra
07178-710;Rua Cereja do Mato
07178-712;Alameda dos Carvalhos
07178-714;Rua Rosa do Deserto
07178-716;Alameda dos Flamboyants
07179-000;Avenida Florestan Fernandes
07179-020;Rua Arthur Victor Brenneisen
07179-022;Passagem Dois
07179-023;Rua Norte B
07179-025;Passagem Um
07179-040;Rua Cristóvão Morais da Rocha
07179-050;Rua Doutor Mário Romeu de Lucca
07179-060;Rua Edmar Bressam
07179-063;Rua B
07179-065;Rua A
07179-070;Rua Elisângela Alves de Souza
07179-090;Rua José Antônio dos Santos
07179-100;Rua José Luiz Alves de Souza
07179-110;Rua José Moreira Pinto
07179-120;Rua Maria Quitéria de Jesus Medeiros
07179-130;Rua Mário Luiz Macca
07179-140;Rua Nair de Lourdes Camillo
07179-150;Rua Nathan do Nascimento Júnior
07179-155;Rua do Lagoa
07179-160;Rua Nelson Aucto de Jesus
07179-163;Rua Rodrigo Fernandes
07179-164;Rua Dois
07179-165;Rua Lucas Pereira de Souza
07179-166;Rua Antonio Soares dos Santos
07179-167;Rua Rafael da Silva Santos
07179-170;Rua Nicolino Rinaldi
07179-180;Rua Odorico Nilo Menin
07179-190;Rua Ovídio Camilo
07179-201;Rua Ramira Rodrigues Zaccardi
07179-210;Rua Roberto Fucks Filho
07179-220;Rua Rubens Taborda
07179-225;Rua João Leal
07179-230;Rua Salma Tacache Pirillo
07179-240;Rua Sebastião Vieira
07179-250;Rua Walter José Rodrigues do Prado
07179-260;Rua Zeferino Alves de Oliveira
07179-265;Rua Etelvina
07179-270;Rua Brasilino Antônio de Oliveira
07179-275;Rua Maria Apparecida Barbosa Guimarães
07179-280;Rua Norte A
07179-285;Viela Quirinacia
07179-287;Viela Leste B
07179-289;Travessa Leste B
07179-290;Rua Manuel Antonio Major
07179-293;Rua Joaquim Pedro de Oliveira
07179-294;Rua Altamiro Mathias Goes
07179-295;Rua Maria Roza de Campos
07179-296;Rua Eliane Mendes Ferreira
07179-297;Rua José Oliveira
07179-300;Rua Osvaldo Avilez
07179-310;Rua Luíza de Ricio Avilez
07179-320;Rua Geraldo Augusto
07179-325;Viela Ângelo Fernandes
07179-330;Rua Orlando Pedroni
07179-331;Passagem Ficus
07179-332;Passagem Sucesso
07179-333;Rua da Mina
07179-335;Rua Luís Carlos Werzel
07179-336;Rua Trabalhadores
07179-338;Rua Valdomiro José Gomes
07179-339;Rua Passagem Três
07179-340;Rua João Januário de Lima
07179-341;Rua Passagem Quatro
07179-345;Rua Leste C
07179-350;Avenida José Rangel Filho
07179-360;Rua Altina Alves Brogna
07179-363;Rua Endi Cavalcanti Martins Duarte
07179-370;Rua José Mantovani
07179-470;Avenida José Brumatti
07179-478;Viela C
07179-479;Viela B
07179-480;Viela A
07179-481;Rua Maranhão
07179-482;Rua Bahia
07179-483;Rua Paraíba
07179-484;Rua Ceará
07179-485;Rua Piauí
07179-486;Rua Alagoas
07179-487;Rua Sergipe
07179-488;Rua São Paulo
07179-489;Rua do Forum
07179-490;Rua Pernambuco
07179-491;Rua São Francisco
07179-492;Rua Paulo Stefani
07179-493;Rua Ouro Preto
07179-494;Rua Particular
07179-496;Rua Santana
07179-497;Rua Horizonte
07179-498;Rua Canaã
07179-500;Rua Rio Jordão
07179-505;Rua Maria Padilha
07179-510;Rua Camacan
07179-600;Rua Elaine
07179-610;Rua Sarita
07179-620;Avenida A
07179-630;Rua da Mina
07179-635;Estrada das Lavras
07179-640;Rua do Lago
07179-650;Rua E
07179-655;Rua D
07179-660;Rua C
07179-665;Avenida B
07179-700;Estrada Velha de Nazaré
07179-701;Avenida Luiz Gonzaga do Nascimento
07179-705;Rua Particular
07179-706;Rua Doze de Fevereiro
07179-707;Avenida Três
07179-710;Rua Adevilson Estevam dos Santos
07179-715;Rua Raimundo Rocha de Oliveira
07179-720;Rua Izabel Camarero Losano
07179-725;Rua Deolinda dos Anjos Antônio
07179-780;Rua Benedito Xavier da Silva
07179-800;Avenida Anita Garibaldi
07179-805;Rua Dezenove de Maio
07179-810;Rua Eldorado dos Carajás
07179-813;Travessa Seringueira
07179-815;Rua Zumbi dos Palmares
07179-820;Rua Antonio Conselheiro
07179-825;Rua Carlos Mariguela
07179-830;Rua Carlos Lamarca
07179-835;Rua Paulo Freire
07179-840;Rua Olga Benário
07179-845;Rua Chico Mendes
07179-850;Rua Nossa Terra
07179-855;Rua Terra e Liberdade
07179-857;Travessa Caio Prado Junior
07179-859;Travessa Ernesto Cheguevara
07179-861;Travessa Pinheirinho
07179-863;Travessa Eucalipto
07179-865;Travessa Girassol
07179-867;Travessa Oziel Alves
07179-869;Travessa Irmã Ofélia
07179-871;Travessa Milton Santos
07179-873;Travessa Margarida Alves
07179-875;Travessa Ho Chi Mim
07179-877;Travessa Elder Câmara
07180-000;Avenida Monteiro Lobato
07180-010;Avenida João Veloso da Silva
07180-011;Viela Tupancirata
07180-012;Viela Várzea
07180-013;Rua Vinte e Quatro de Julho
07180-020;Rua Milagres
07180-030;Viela Alto Alegre
07180-040;Rua Marianópolis
07180-041;Viela Inúbia Paulista
07180-050;Rua Nova Guataporanga
07180-052;Rua Valdemiro Timante
07180-059;Rua Maria das Graças Lourenço
07180-060;Rua Campos Sales
07180-061;Viela Capitão Enéas
07180-070;Rua Nilópolis
07180-080;Rua Mauriti
07180-081;Viela Três
07180-082;Viela Quatro
07180-083;Viela Cinco
07180-084;Viela Seis
07180-085;Viela Sete
07180-086;Viela Oito
07180-087;Rua José Venâncio da Silva
07180-090;Rua Porteiras
07180-095;Rua Clementina Maria dos Santos
07180-100;Rua Dagmar
07180-110;Rua Araripi
07180-120;Avenida Régis
07180-121;Viela Santo Ângelo
07180-130;Rua Potengi
07180-140;Rua Jati
07180-150;Rua Glicério
07180-151;Viela Faria
07180-160;Rua Plácido Ivo de Mello
07180-170;Rua Buritama
07180-180;Rua São Luiz Gonzaga
07180-190;Rua Regiani
07180-200;Rua Holandesa
07180-210;Rua Abaiara
07180-211;Travessa Piacatu
07180-220;Rua Ibiraci
07180-221;Viela Curral
07180-230;Rua Juazeiro do Norte
07180-240;Rua Várzea Alegre
07180-250;Rua Cariri-Açu
07180-260;Rua Brigadeiro Mário Perdigão
07180-261;Viela Dani
07180-262;Viela Acaré
07180-263;Viela Antonio Bertolazzo
07180-270;Avenida Santos Dumont
07180-280;Rua São João da Serra
07180-290;Rua Manoel dos Santos Filho
07180-300;Rua Umari
07180-310;Rua Birigui
07180-311;Viela Astro
07180-320;Rua Agudos
07180-340;Rua Luisiânia
07180-350;Rua Novo México
07180-360;Rua Mazagão
07180-361;Viela Barra Ribeiro
07180-365;Praça Lydia Kitz Moreira
07180-370;Rua Milton D. Vasconcelos
07180-380;Rua Várzea Grande
07180-390;Rua Sargento da Aeronáutica Plínio J. da Cunha
07180-400;Rua Segundo-Tenente-Aviador Ary Pereira de Lima
07180-401;Viela Alvorada
07180-410;Rua Sargento da Aeronáutica Furtuna R. de Matos
07180-420;Rua Segundo-Tenente-Aviador Roberto Alvarenga
07180-421;Viela Antena
07180-430;Rua Rio Verde
07180-440;Rua Graneiro
07180-900;Rua Jati 266
07180-901;Avenida Monteiro Lobato 4550
07180-902;Avenida Monteiro Lobato 4550 Box 68
07180-903;Rodovia Presidente Dutra km 222
07180-904;Avenida Monteiro Lobato 4455
07180-959;Avenida Monteiro Lobato 6184
07180-970;Avenida Monteiro Lobato 6184
07181-000;Avenida Capitão Aviador Walter Ribeiro
07181-010;Rua Segundo-Tenente Renato Ometi
07181-011;Viela Salvador Sul
07181-012;Viela Onze de Junho
07181-020;Rua Segundo-Tenente Naylor Correia de Martins Mendes
07181-030;Rua Segundo-Tenente-Aviador Walter Querino
07181-050;Rua Estância Velha
07181-060;Rua Segundo-Tenente-Aviador Mário Luiz Figueiroa
07181-061;Viela Campo Novo
07181-065;Rua Segundo-Tenente-Aviador Aly C. de Paula
07181-070;Avenida Sargento da Aeronáutica Damião Lins de Vasconcelos
07181-080;Rua Sargento da Aeronáutica Benedito Fumeni
07181-081;Viela Aura
07181-082;Viela São Leopoldo
07181-083;Viela Indu
07181-085;Rua Estrada Velha
07181-090;Rua Sargento da Aeronáutica Manoel Dias da Silva
07181-100;Avenida Sargento da Aeronáutica Plínio F. Gonçalves
07181-101;Viela Erval Seco
07181-102;Viela Nova Petrópolis
07181-103;Viela Arara
07181-104;Viela Sirinhaém
07181-110;Viela Luzia
07181-130;Rua Capitão Aviador Heitor Luiz Jordão
07181-140;Rua Primeiro-Tenente-Aviador Bento de Azambujas Ribas
07181-150;Rua Landulfo de Almeida Filho
07181-160;Rua Tenente-Aviador Genaro M. do Nascimento
07181-170;Rua Segundo-Tenente-Aviador Evanir Pereira da Costa
07181-180;Rua Puxinana
07181-190;Rua Segundo-Tenente-Aviador Geraldo C. Figueiredo
07181-200;Estrada Guarulhos-Nazaré
07181-220;Rua Segundo-Tenente-Aviador Napoleão R. Borges
07181-222;Praça Miramar
07181-226;Praça do Sul
07181-230;Avenida Sargento da Aeronáutica Teruo Asaeda
07181-240;Rua Sargento da Aeronáutica Ariovaldo Teodoro B. das Neves
07181-241;Viela Solânea
07181-242;Viela Areia
07181-250;Viela Pocinhos
07181-260;Rua Campo Bom
07181-266;Rua Marraial
07181-270;Viela Primavera
07181-280;Rua Frederico
07181-287;Rua Sargento da Aeronáutica Dorival Tenáglia
07181-290;Rua Sargento da Aeronáutica Milton de Bezerra
07182-000;Avenida Sargento da Aeronáutica Jaime R. Pereira
07182-010;Rua Sargento da Aeronáutica Francisco Morvão
07182-020;Rua Sargento da Aeronáutica João R. Ferreira
07182-037;Rua Sargento da Aeronáutica Flávio Diniz Ferreira
07182-040;Rua Sargento da Aeronáutica José Pereira Alves
07182-050;Rua Antônio Gomes de Souza
